"Sample"	"Sampling"	"Wells"	"Tox"	"Conc"	"Unit"	"Treatment"	"term"	"estimate"	"auc"
"92"	"Div5_set2"	"Mid"	"E07"	"Oflox"	0.56	"µM"	NA	"r"	0.014085710932652	18.5049675265437
"93"	"Div5_set2"	"Mid"	"E06"	"Oflox"	0.9	"µM"	NA	"K"	0.194473831462044	19.2423818248613
"94"	"Div5_set2"	"Mid"	"E06"	"Oflox"	0.9	"µM"	NA	"l"	17.0711191340893	19.2423818248613
"95"	"Div5_set2"	"Mid"	"E06"	"Oflox"	0.9	"µM"	NA	"r"	0.0141348393158882	19.2423818248613
"96"	"Div5_set2"	"Mid"	"E05"	"Oflox"	1.46	"µM"	NA	"K"	0.131971918035786	13.128231252118
"97"	"Div5_set2"	"Mid"	"E05"	"Oflox"	1.46	"µM"	NA	"l"	17.1698275729741	13.128231252118
"98"	"Div5_set2"	"Mid"	"E05"	"Oflox"	1.46	"µM"	NA	"r"	0.0104143117097909	13.128231252118
"99"	"Div5_set2"	"Mid"	"E04"	"Oflox"	2.36	"µM"	NA	"K"	0.0605371030232726	5.68866112112291
"100"	"Div5_set2"	"Mid"	"E04"	"Oflox"	2.36	"µM"	NA	"l"	23.4421816843944	5.68866112112291
"101"	"Div5_set2"	"Mid"	"E04"	"Oflox"	2.36	"µM"	NA	"r"	0.00533169430545321	5.68866112112291
"102"	"Div5_set2"	"Mid"	"E03"	"Oflox"	3.82	"µM"	NA	"K"	0.032433210405342	2.27091899485982
"103"	"Div5_set2"	"Mid"	"E03"	"Oflox"	3.82	"µM"	NA	"l"	43.2762708848655	2.27091899485982
"104"	"Div5_set2"	"Mid"	"E03"	"Oflox"	3.82	"µM"	NA	"r"	0.00175783559613758	2.27091899485982
"105"	"Div5_set2"	"Mid"	"E02"	"Oflox"	6.18	"µM"	NA	NA	0	0
"106"	"Div5_set2"	"Mid"	"E01"	"Oflox"	10	"µM"	NA	NA	0	0
"107"	"Div5_set2"	"Mid"	"D12"	"Cont"	NA	NA	NA	"K"	0.0380549367465652	3.9106948422264
"108"	"Div5_set2"	"Mid"	"D12"	"Cont"	NA	NA	NA	"l"	20.5289266949871	3.9106948422264
"109"	"Div5_set2"	"Mid"	"D12"	"Cont"	NA	NA	NA	"r"	0.0307035032958878	3.9106948422264
"110"	"Div5_set2"	"Mid"	"D11"	"Cont"	NA	NA	NA	"K"	0.156667102362745	16.0974572790312
"111"	"Div5_set2"	"Mid"	"D11"	"Cont"	NA	NA	NA	"l"	17.6137030604703	16.0974572790312
"112"	"Div5_set2"	"Mid"	"D11"	"Cont"	NA	NA	NA	"r"	0.0249947259677368	16.0974572790312
"113"	"Div5_set2"	"Mid"	"D10"	"Cont"	NA	NA	NA	"K"	0.156765628000738	15.8509237856445
"114"	"Div5_set2"	"Mid"	"D10"	"Cont"	NA	NA	NA	"l"	18.2548554428494	15.8509237856445
"115"	"Div5_set2"	"Mid"	"D10"	"Cont"	NA	NA	NA	"r"	0.0196333352864709	15.8509237856445
"116"	"Div5_set2"	"Mid"	"D09"	"Cont"	NA	NA	NA	"K"	0.155647072232626	15.7556798721804
"117"	"Div5_set2"	"Mid"	"D09"	"Cont"	NA	NA	NA	"l"	17.5054950398917	15.7556798721804
"118"	"Div5_set2"	"Mid"	"D09"	"Cont"	NA	NA	NA	"r"	0.0171446751543331	15.7556798721804
"119"	"Div5_set2"	"Mid"	"D08"	"Cont"	NA	NA	NA	"K"	0.161302970214387	16.6053370688081
"120"	"Div5_set2"	"Mid"	"D08"	"Cont"	NA	NA	NA	"l"	16.1689339709047	16.6053370688081
"121"	"Div5_set2"	"Mid"	"D08"	"Cont"	NA	NA	NA	"r"	0.0191549567522773	16.6053370688081
"122"	"Div5_set2"	"Mid"	"D07"	"Cont"	NA	NA	NA	"K"	0.145238488535926	14.7544493261778
"123"	"Div5_set2"	"Mid"	"D07"	"Cont"	NA	NA	NA	"l"	15.972799455033	14.7544493261778
"124"	"Div5_set2"	"Mid"	"D07"	"Cont"	NA	NA	NA	"r"	0.0130866536535524	14.7544493261778
"125"	"Div5_set2"	"Mid"	"D06"	"Cont"	NA	NA	NA	"K"	0.167626969902449	16.8810014794471
"126"	"Div5_set2"	"Mid"	"D06"	"Cont"	NA	NA	NA	"l"	18.3298117548712	16.8810014794471
"127"	"Div5_set2"	"Mid"	"D06"	"Cont"	NA	NA	NA	"r"	0.0195916628214583	16.8810014794471
"128"	"Div5_set2"	"Mid"	"D05"	"Cont"	NA	NA	NA	"K"	0.201307549103499	20.5633391895399
"129"	"Div5_set2"	"Mid"	"D05"	"Cont"	NA	NA	NA	"l"	14.7905864312207	20.5633391895399
"130"	"Div5_set2"	"Mid"	"D05"	"Cont"	NA	NA	NA	"r"	0.0165431681768052	20.5633391895399
"131"	"Div5_set2"	"Mid"	"D04"	"Cont"	NA	NA	NA	"K"	0.18748632501329	19.1064867733319
"132"	"Div5_set2"	"Mid"	"D04"	"Cont"	NA	NA	NA	"l"	15.849709776824	19.1064867733319
"133"	"Div5_set2"	"Mid"	"D04"	"Cont"	NA	NA	NA	"r"	0.0174289256931991	19.1064867733319
"134"	"Div5_set2"	"Mid"	"D03"	"Cont"	NA	NA	NA	"K"	0.237155920547484	23.4927978396732
"135"	"Div5_set2"	"Mid"	"D03"	"Cont"	NA	NA	NA	"l"	16.1510781667447	23.4927978396732
"136"	"Div5_set2"	"Mid"	"D03"	"Cont"	NA	NA	NA	"r"	0.0156575044427764	23.4927978396732
"137"	"Div5_set2"	"Mid"	"D02"	"Cont"	NA	NA	NA	"K"	0.133303884164983	13.5991050870949
"138"	"Div5_set2"	"Mid"	"D02"	"Cont"	NA	NA	NA	"l"	19.5461951542347	13.5991050870949
"139"	"Div5_set2"	"Mid"	"D02"	"Cont"	NA	NA	NA	"r"	0.0317254980439135	13.5991050870949
"140"	"Div5_set2"	"Mid"	"D01"	"Cont"	NA	NA	NA	"K"	0.105453188299606	10.7644434755955
