sampling	CellsL	CellsD	CellsT	pDead	DIV	Tox	BOT	ToxC
06/10/13	5760717.715	243398.1705	6004115.885	4.053855307	1	4	28	1.58E-09
06/10/13	5893433.009	194414.7828	6087847.792	3.193489547	1	0	20	0
06/10/13	5893433.009	194414.7828	6087847.792	3.193489547	1	0	27	0
06/10/13	5893433.009	194414.7828	6087847.792	3.193489547	1	0	35	0
06/10/13	5328227.145	172928.6964	5501155.842	3.1434975	1	1	36	1.00E-07
06/10/13	2542605.973	62605.14313	2605211.116	2.403073699	2	0	2	0
06/10/13	2542605.973	62605.14313	2605211.116	2.403073699	2	0	43	0
06/10/13	2542605.973	62605.14313	2605211.116	2.403073699	2	0	44	0
06/10/13	2143046.419	62684.49344	2205730.912	2.841892141	2	6	5	1.00E-10
06/10/13	2183817.554	39043.31627	2222860.871	1.756444444	2	3	12	6.31E-09
06/10/13	1884868.382	45800.98292	1930669.365	2.372285165	2	5	19	3.98E-10
06/10/13	2160402.25	47761.40587	2208163.655	2.162946834	2	4	24	1.58E-09
06/10/13	1929425.736	46729.63972	1976155.375	2.364674373	2	2	25	2.51E-08
06/10/13	2225910.562	32488.10403	2258398.666	1.438546016	2	1	32	1.00E-07
06/10/13	2422935.944	43568.13001	2466504.074	1.766391974	2	0	2	0
06/10/13	2422935.944	43568.13001	2466504.074	1.766391974	2	0	43	0
06/10/13	2422935.944	43568.13001	2466504.074	1.766391974	2	0	44	0
06/10/13	2042194.332	44357.10394	2086551.436	2.1258572	2	0	2	0
06/10/13	2042194.332	44357.10394	2086551.436	2.1258572	2	0	43	0
06/10/13	2042194.332	44357.10394	2086551.436	2.1258572	2	0	44	0
06/10/13	1569662.451	81706.52865	1651368.979	4.947805709	3	4	1	1.58E-09
06/10/13	1308547.993	41816.72814	1350364.721	3.096698802	3	0	4	0
06/10/13	1308547.993	41816.72814	1350364.721	3.096698802	3	0	26	0
06/10/13	1308547.993	41816.72814	1350364.721	3.096698802	3	0	41	0
06/10/13	1370911.88	51794.73124	1422706.612	3.64057711	3	3	10	6.31E-09
06/10/13	1760577.323	39467.54587	1800044.869	2.192586782	3	5	16	3.98E-10
06/10/13	1316745.33	30105.38712	1346850.717	2.235243056	3	0	4	0
06/10/13	1316745.33	30105.38712	1346850.717	2.235243056	3	0	26	0
06/10/13	1316745.33	30105.38712	1346850.717	2.235243056	3	0	41	0
06/10/13	1851687.454	40206.63149	1891894.086	2.1252052	3	1	37	1.00E-07
06/10/13	2047907.532	24141.00475	2072048.536	1.165079115	3	6	40	1.00E-10
06/10/13	1569447.64	45148.82626	1614596.466	2.796291656	3	0	4	0
06/10/13	1569447.64	45148.82626	1614596.466	2.796291656	3	0	26	0
06/10/13	1569447.64	45148.82626	1614596.466	2.796291656	3	0	41	0
06/10/13	3194137.51	58446.28414	3252583.794	1.796918629	3	2	42	2.51E-08
06/10/13	1830832.188	45439.39261	1876271.58	2.421791871	4	0	6	0
